name,id,nametype,recclass,mass,fall,GeoLocation,year,Country,Continent
M神ssing,15443,Valid,Stony,1600,Fell,"(48.133330, 12.616670)",1803,Germany,EU
Apt,2320,Valid,Stony,3200,Fell,"(43.866670, 5.383330)",1803,France,EU
L'Aigle,12434,Valid,Stony,37000,Fell,"(48.766670, 0.633330)",1803,France,EU
Bocas,5093,Valid,Stony,56,Fell,"(23.000000, -102.000000)",1804,Mexico,NA
Darmstadt,6603,Valid,Stony,100,Fell,"(49.866670, 8.650000)",1804,Germany,EU
High Possil,11884,Valid,Stony,4500,Fell,"(55.900000, -4.233330)",1804,United Kingdom,EU
Asco,2345,Valid,Stony,41,Fell,"(42.450000, 9.033330)",1805,France,EU
Doroninsk,7718,Valid,Stony,3891,Fell,"(51.200000, 112.300000)",1805,Russia,EU
Alais,448,Valid,Stony,6000,Fell,"(44.116670, 4.083330)",1806,France,EU
Timochin,24004,Valid,Stony,65500,Fell,"(54.500000, 35.200000)",1807,Russia,EU
Weston,24249,Valid,Stony,150000,Fell,"(41.266667, -73.266667)",1807,United States,NA
Moradabad,16740,Valid,Stony,70,Fell,"(28.783330, 78.833330)",1808,India,AS
Borgo San Donino,5110,Valid,Stony,1676,Fell,"(44.866670, 10.050000)",1808,Italy,EU
Kikino,12306,Valid,Stony,195,Fell,"(55.000000, 34.000000)",1809,Russia,EU
Caswell County,5296,Valid,Stony,1360,Fell,"(36.500000, -79.250000)",1810,United States,NA
Mooresfort,16737,Valid,Stony,3520,Fell,"(52.450000, -8.333330)",1810,Ireland,EU
Charsonville,5329,Valid,Stony,27000,Fell,"(47.933330, 1.566670)",1810,France,EU
Punganaru,18902,Valid,Stony,100,Fell,"(13.333330, 78.950000)",1811,India,AS
Berlanguillas,5029,Valid,Stony,1440,Fell,"(41.683330, -3.800000)",1811,Spain,EU
Kuleschovka,12370,Valid,Stony,6000,Fell,"(50.750000, 33.500000)",1811,Ukraine,EU
Borodino,5114,Valid,Stony,500,Fell,"(55.466670, 35.866670)",1812,Russia,EU
Toulouse,24036,Valid,Stony,1030,Fell,"(43.600000, 1.400000)",1812,France,EU
Erxleben,10049,Valid,Stony,2250,Fell,"(52.216670, 11.250000)",1812,Germany,EU
Chantonnay,5325,Valid,Stony,31500,Fell,"(46.683330, 1.050000)",1812,France,EU
